"filename", "language", "C++", "JSON", "HTML", "YAML", "Swift", "Markdown", "Dart", "XML", "CMake", "Groovy", "Properties", "comment", "blank", "total"
"e:\Projects\GitHub\flutter-apps\math_bingo\web\index.html", "HTML", 0, 0, -37, 0, 0, 0, 0, 0, 0, 0, 0, -16, -6, -59
"e:\Projects\GitHub\flutter-apps\math_bingo\web\manifest.json", "JSON", 0, -35, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, -36
"e:\Projects\GitHub\flutter-apps\math_bingo\windows\flutter\generated_plugin_registrant.cc", "C++", -3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -4, -5, -12
"e:\Projects\GitHub\flutter-apps\math_bingo\windows\flutter\generated_plugin_registrant.h", "C++", -5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -5, -6, -16
"e:\Projects\GitHub\flutter-apps\math_bingo\windows\flutter\generated_plugins.cmake", "CMake", 0, 0, 0, 0, 0, 0, 0, 0, -18, 0, 0, 0, -6, -24
"e:\Projects\GitHub\flutter-apps\math_bingo\windows\runner\flutter_window.cpp", "C++", -45, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -4, -13, -62
"e:\Projects\GitHub\flutter-apps\math_bingo\windows\runner\flutter_window.h", "C++", -20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -5, -9, -34
"e:\Projects\GitHub\flutter-apps\math_bingo\windows\runner\main.cpp", "C++", -30, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -4, -10, -44
"e:\Projects\GitHub\flutter-apps\math_bingo\windows\runner\resource.h", "C++", -9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -6, -2, -17
"e:\Projects\GitHub\flutter-apps\math_bingo\windows\runner\utils.cpp", "C++", -53, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -2, -10, -65
"e:\Projects\GitHub\flutter-apps\math_bingo\windows\runner\utils.h", "C++", -8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -6, -6, -20
"e:\Projects\GitHub\flutter-apps\math_bingo\windows\runner\win32_window.cpp", "C++", -183, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -15, -48, -246
"e:\Projects\GitHub\flutter-apps\math_bingo\windows\runner\win32_window.h", "C++", -48, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -29, -22, -99
"Total", "-", -499, -248, -37, -21, -38, -13, -14, -466, -36, -89, -8, -272, -276, -2017
