Date : 2022-09-11 15:04:18
Directory : e:\Projects\GitHub\flutter-apps\math_bingo
Total : 53 files,  1832 codes, 321 comments, 328 blanks, all 2481 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
| e:\Projects\GitHub\flutter-apps\math_bingo\linux\flutter\generated_plugins.cmake                         | CMake      |         18 |          0 |          6 |         24 |
| e:\Projects\GitHub\flutter-apps\math_bingo\linux\main.cc                                                 | C++        |          5 |          0 |          2 |          7 |
| e:\Projects\GitHub\flutter-apps\math_bingo\linux\my_application.cc                                       | C++        |         74 |         11 |         20 |        105 |
| e:\Projects\GitHub\flutter-apps\math_bingo\linux\my_application.h                                        | C++        |          7 |          7 |          5 |         19 |
| e:\Projects\GitHub\flutter-apps\math_bingo\macos\Flutter\GeneratedPluginRegistrant.swift                 | Swift      |          6 |          3 |          4 |         13 |
| e:\Projects\GitHub\flutter-apps\math_bingo\macos\Runner\AppDelegate.swift                                | Swift      |          8 |          0 |          2 |         10 |
| e:\Projects\GitHub\flutter-apps\math_bingo\macos\Runner\Assets.xcassets\AppIcon.appiconset\Contents.json | JSON       |         68 |          0 |          1 |         69 |
| e:\Projects\GitHub\flutter-apps\math_bingo\macos\Runner\Base.lproj\MainMenu.xib                          | XML        |        343 |          0 |          1 |        344 |
| e:\Projects\GitHub\flutter-apps\math_bingo\macos\Runner\MainFlutterWindow.swift                          | Swift      |         12 |          0 |          4 |         16 |
| e:\Projects\GitHub\flutter-apps\math_bingo\pubspec.yaml                                                  | YAML       |         18 |         60 |         16 |         94 |
| e:\Projects\GitHub\flutter-apps\math_bingo\test\widget_test.dart                                         | Dart       |         14 |         10 |          7 |         31 |
| e:\Projects\GitHub\flutter-apps\math_bingo\web\index.html                                                | HTML       |         37 |         16 |          6 |         59 |
| e:\Projects\GitHub\flutter-apps\math_bingo\web\manifest.json                                             | JSON       |         35 |          0 |          1 |         36 |
| e:\Projects\GitHub\flutter-apps\math_bingo\windows\flutter\generated_plugin_registrant.cc                | C++        |          3 |          4 |          5 |         12 |
| e:\Projects\GitHub\flutter-apps\math_bingo\windows\flutter\generated_plugin_registrant.h                 | C++        |          5 |          5 |          6 |         16 |
| e:\Projects\GitHub\flutter-apps\math_bingo\windows\flutter\generated_plugins.cmake                       | CMake      |         18 |          0 |          6 |         24 |
| e:\Projects\GitHub\flutter-apps\math_bingo\windows\runner\flutter_window.cpp                             | C++        |         45 |          4 |         13 |         62 |
| e:\Projects\GitHub\flutter-apps\math_bingo\windows\runner\flutter_window.h                               | C++        |         20 |          5 |          9 |         34 |
| e:\Projects\GitHub\flutter-apps\math_bingo\windows\runner\main.cpp                                       | C++        |         30 |          4 |         10 |         44 |
| e:\Projects\GitHub\flutter-apps\math_bingo\windows\runner\resource.h                                     | C++        |          9 |          6 |          2 |         17 |
| e:\Projects\GitHub\flutter-apps\math_bingo\windows\runner\utils.cpp                                      | C++        |         53 |          2 |         10 |         65 |
| e:\Projects\GitHub\flutter-apps\math_bingo\windows\runner\utils.h                                        | C++        |          8 |          6 |          6 |         20 |
| e:\Projects\GitHub\flutter-apps\math_bingo\windows\runner\win32_window.cpp                               | C++        |        183 |         15 |         48 |        246 |
| e:\Projects\GitHub\flutter-apps\math_bingo\windows\runner\win32_window.h                                 | C++        |         48 |         29 |         22 |         99 |
| Total                                                                                                    |            |      1,832 |        321 |        328 |      2,481 |
+----------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
